n_items,capacity,capacity_factor,repeat,dp_runtime,dp_value,ga_runtime,ga_value,population_size,num_generations,mutation_rate
50,643,0.25,0,0.020868539810180664,1296.0,0.9288425445556641,710,100,200,0.01
50,610,0.25,1,0.0162808895111084,1404.0,2.030221939086914,1343,100,200,0.01
50,642,0.25,2,0.05384564399719238,1673.0,3.491335391998291,1613,100,200,0.01
50,1340,0.5,0,0.12419271469116211,2146.0,3.5921428203582764,2131,100,200,0.01
50,1431,0.5,1,0.1589672565460205,1966.0,3.447075128555298,1955,100,200,0.01
50,1278,0.5,2,0.11005401611328125,2121.0,2.9375016689300537,2110,100,200,0.01
50,1909,0.75,0,0.15695929527282715,2333.0,2.943769693374634,2321,100,200,0.01
50,1908,0.75,1,0.14143013954162598,2552.0,2.99969744682312,2548,100,200,0.01
50,1957,0.75,2,0.15576863288879395,2569.0,3.0752201080322266,2560,100,200,0.01
100,1338,0.25,0,0.21272945404052734,2867.0,4.192492485046387,0,100,200,0.01
100,1227,0.25,1,0.20319461822509766,3005.0,4.2376389503479,0,100,200,0.01
100,1204,0.25,2,0.1948399543762207,2924.0,4.207769870758057,0,100,200,0.01
100,2539,0.5,0,0.4320998191833496,3819.0,4.643845081329346,3786,100,200,0.01
100,2592,0.5,1,0.4311542510986328,4261.0,4.697442054748535,4229,100,200,0.01
100,2574,0.5,2,0.4261295795440674,4000.0,4.676813364028931,3966,100,200,0.01
100,3757,0.75,0,0.6197500228881836,4571.0,4.944289922714233,4556,100,200,0.01
100,3752,0.75,1,0.6256182193756104,5054.0,4.869173526763916,5028,100,200,0.01
100,3834,0.75,2,0.6282193660736084,5034.0,4.7033984661102295,5002,100,200,0.01
200,2789,0.25,0,0.8767201900482178,5690.0,7.005791664123535,0,100,200,0.01
200,2395,0.25,1,0.9816539287567139,5548.0,8.825305223464966,0,100,200,0.01
200,2671,0.25,2,1.15681791305542,5219.0,14.253312587738037,0,100,200,0.01
200,4999,0.5,0,3.7970964908599854,8244.0,15.402366876602173,8113,100,200,0.01
200,4947,0.5,1,2.8299078941345215,8114.0,13.522151947021484,8043,100,200,0.01
200,5534,0.5,2,3.4620282649993896,7412.0,12.944923639297485,7304,100,200,0.01
200,7230,0.75,0,3.8594770431518555,10278.0,13.778072357177734,10206,100,200,0.01
200,7581,0.75,1,4.05058217048645,10101.0,14.062249183654785,10036,100,200,0.01
200,7968,0.75,2,4.241193532943726,9441.0,13.874965190887451,9401,100,200,0.01
500,6249,0.25,0,8.706296682357788,15018.0,27.081902027130127,0,100,200,0.01
500,6262,0.25,1,8.707192420959473,14944.0,27.030097007751465,0,100,200,0.01
500,6444,0.25,2,8.992359161376953,15027.0,26.969815015792847,0,100,200,0.01
500,12497,0.5,0,17.48430371284485,20265.0,30.614378452301025,18523,100,200,0.01
500,12113,0.5,1,17.315011739730835,20777.0,146.42283034324646,19042,100,200,0.01
500,12721,0.5,2,18.35344648361206,21199.0,32.35740518569946,19447,100,200,0.01
500,19957,0.75,0,28.972666263580322,23976.0,34.252376079559326,22706,100,200,0.01
500,19362,0.75,1,27.316540479660034,24451.0,34.62895202636719,23155,100,200,0.01
500,19357,0.75,2,27.722240924835205,24280.0,33.32646679878235,22927,100,200,0.01
1000,12587,0.25,0,,,37.426836252212524,0,100,200,0.01
1000,12423,0.25,1,,,19.77348756790161,0,100,200,0.01
1000,12706,0.25,2,,,19.789218425750732,0,100,200,0.01
1000,24494,0.5,0,,,23.22836661338806,35258,100,200,0.01
1000,25012,0.5,1,,,22.56342053413391,34773,100,200,0.01
1000,25189,0.5,2,,,22.826941967010498,34369,100,200,0.01
1000,37665,0.75,0,,,24.78652048110962,43456,100,200,0.01
1000,37826,0.75,1,,,24.690857648849487,43329,100,200,0.01
1000,37605,0.75,2,,,24.08689832687378,41613,100,200,0.01
